run_date,lead_id,hotel_name,city_area,hotel_type_or_segment,star_or_positioning,website,instagram,phone,verified_email,email_status,email_source_url,website_source_url,phone_source_url,first_contact_channel,confidence_score,short_note,validation_notes
2026-06-16,tntr-ant-bulk-20260616-0001,RuinAdalia Hotel,Kaleiçi / Muratpaşa,boutique hotel,boutique / adults-only,https://www.ruinadalia.com/,,,,website-only; no verified published email captured in this run,,https://www.ruinadalia.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0002,Tuvana Hotel,Kaleiçi / Muratpaşa,boutique hotel,special class boutique,https://www.tuvanahotel.com/,,,,website-only; no verified published email captured in this run,,https://www.tuvanahotel.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0003,Puding Hotel,Kaleiçi / Muratpaşa,boutique hotel,boutique / old town,https://www.pudinghotel.com/,,,,website-only; no verified published email captured in this run,,https://www.pudinghotel.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0004,Aspen Hotel Kaleiçi,Kaleiçi / Muratpaşa,boutique hotel,boutique / old town,https://www.aspenhotel.com.tr/,,,,website-only; no verified published email captured in this run,,https://www.aspenhotel.com.tr/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0005,Mediterra Art Hotel,Kaleiçi / Muratpaşa,boutique hotel,special class boutique,https://www.mediterraarthotel.com/,,,,website-only; no verified published email captured in this run,,https://www.mediterraarthotel.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0006,Alp Paşa Hotel,Kaleiçi / Muratpaşa,boutique hotel,boutique / special class,https://www.alppasa.com/,,,,website-only; no verified published email captured in this run,,https://www.alppasa.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0007,Dogan Hotel,Kaleiçi / Muratpaşa,boutique hotel,boutique / old town,https://www.doganhotel.com/,,,,website-only; no verified published email captured in this run,,https://www.doganhotel.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0008,Adalya Port Hotel,Kaleiçi / Muratpaşa,boutique hotel,boutique / old harbour,https://www.adalyaporthotel.com/,,,,website-only; no verified published email captured in this run,,https://www.adalyaporthotel.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0009,White Garden Hotel,Kaleiçi / Muratpaşa,boutique hotel,boutique / old town,https://www.whitegardenhotel.com/,,,,website-only; no verified published email captured in this run,,https://www.whitegardenhotel.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0010,Minyon Hotel,Kaleiçi / Muratpaşa,boutique hotel,boutique / old town,https://www.minyonhotel.com/,,,,website-only; no verified published email captured in this run,,https://www.minyonhotel.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0011,Urcu Hotel,Kaleiçi / Muratpaşa,boutique hotel,boutique / pension-style,https://www.urcuhotel.com/,,,,website-only; no verified published email captured in this run,,https://www.urcuhotel.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
2026-06-16,tntr-ant-bulk-20260616-0012,Hadrianus Hotel,Kaleiçi / Muratpaşa,boutique hotel,boutique / old town,https://www.hadrianushotel.com/,,,,website-only; no verified published email captured in this run,,https://www.hadrianushotel.com/,,website/contact-form-or-site,0.62,Antalya in-scope hotel candidate; official/domain-level website captured.,Email intentionally blank; no guessed generic mailbox. Phone not recorded unless exact source was captured. Unique within current run by name/domain.
