run_date,lead_id,hotel_name,city,hotel_type_or_segment,website,instagram,phone,verified_email,email_source_url,website_source_url,instagram_source_url,phone_source_url,decision_maker_name,decision_maker_source_url,confidence_score,action_class,best_first_contact_channel,touristnettr_integration_point,short_note,reason_for_fit,validation_notes
2026-06-18,astra-boutique-hotel-astraboutiquehotel-com-0e09397c37,Astra Boutique Hotel,,hotel,http://www.astraboutiquehotel.com/,@astraboutiquehotel,+902125272221,info@astraboutiquehotel.com,http://www.astraboutiquehotel.com/,http://www.astraboutiquehotel.com/,http://www.astraboutiquehotel.com/,http://www.astraboutiquehotel.com/,,,100,A_APPROVED,email,reservation confirmation / pre-arrival email,Email-ready hotel lead. Source-valid hotel email found; decision-maker not required. Checked 2 page(s).,Hotel/accommodation keywords verified.,"Email extracted from mailto link on official/relevant hotel page.; Phone found on source page.; Checked URLs: http://www.astraboutiquehotel.com/, https://astraboutiquehotel.com/; Decision maker optional by 2026-06-15 rule change.; No inferred email used."
2026-06-18,erk-hotel-erkhotel-com-f6810ccf22,Erk Hotel,,hotel,http://www.erkhotel.com/,,+902125912222,info@erkhotel.com,http://www.erkhotel.com/,http://www.erkhotel.com/,,http://www.erkhotel.com/,,,100,A_APPROVED,email,guest welcome message / room QR,Email-ready hotel lead. Source-valid hotel email found; decision-maker not required. Checked 2 page(s).,Hotel/accommodation keywords verified.,"Email extracted from mailto link on official/relevant hotel page.; Phone found on source page.; Checked URLs: http://www.erkhotel.com/, http://www.erkhotel.com/contact.php; Decision maker optional by 2026-06-15 rule change.; No inferred email used."
2026-06-18,sultanahmet-hotel-han-hanhotel-net-9401636e31,Sultanahmet Hotel Han,,hotel,https://www.hanhotel.net/,/www.instagram.com/hanhotelsultanahmet/,+902125110361,info@hanhotel.net,https://www.hanhotel.net/,https://www.hanhotel.net/,https://www.hanhotel.net/,https://www.hanhotel.net/,,,100,A_APPROVED,email,reservation confirmation / pre-arrival email,Email-ready hotel lead. Source-valid hotel email found; decision-maker not required. Checked 2 page(s).,Hotel/accommodation keywords verified.,"Email extracted from official/relevant hotel page HTML/text.; Phone found on source page.; Checked URLs: https://www.hanhotel.net/, https://www.hanhotel.net/about-us.html; Decision maker optional by 2026-06-15 rule change.; No inferred email used."
2026-06-18,route-hotel-kalei-i-12-antalya-routehotelkaleici-com-2097200375,Route Hotel Kaleiçi (+12),Antalya,Hotel,https://routehotelkaleici.com/,@routehotelkaleici,+902422475656,info@routehotelkaleici.com,https://routehotelkaleici.com/,https://routehotelkaleici.com/,https://routehotelkaleici.com/,https://routehotelkaleici.com/,,,100,A_APPROVED,email,reservation confirmation / pre-arrival email,Email-ready hotel lead. Source-valid hotel email found; decision-maker not required. Checked 2 page(s).,Hotel/accommodation keywords verified.,"Email extracted from mailto link on official/relevant hotel page.; Phone found on source page.; Checked URLs: https://routehotelkaleici.com/, https://routehotelkaleici.com/rezervasyon/; Decision maker optional by 2026-06-15 rule change.; No inferred email used."
2026-06-18,wolf-of-the-city-hotel-spa-antalya-wolfofthecityhotel-com-4ca31668c6,Wolf of the city hotel & spa,Antalya,Hotel,https://www.wolfofthecityhotel.com/,,+905417246010,info@wolfofthecityhotel.com,https://www.wolfofthecityhotel.com/,https://www.wolfofthecityhotel.com/,,https://www.wolfofthecityhotel.com/,,,100,A_APPROVED,email,reservation confirmation / pre-arrival email,Email-ready hotel lead. Source-valid hotel email found; decision-maker not required. Checked 3 page(s).,Hotel/accommodation keywords verified.,"Email extracted from official/relevant hotel page HTML/text.; Phone found on source page.; Checked URLs: https://www.wolfofthecityhotel.com/, https://rezervasyon.wolfofthecityhotel.com/, https://www.wolfofthecityhotel.com/tr/iletisim/; Decision maker optional by 2026-06-15 rule change.; No inferred email used."
2026-06-18,zenginoglu-group-inc-bogema-travel-voyage-luxury-service-antalya-bogematravel-com-4612da5006,ZENGINOGLU GROUP INC. BOGEMA TRAVEL & VOYAGE LUXURY SERVICE,Antalya,Lodging,http://www.bogematravel.com/,,+905495191200,reservation@bogematravel.com,http://www.bogematravel.com/iletisim,http://www.bogematravel.com/,,http://www.bogematravel.com/,,,100,A_APPROVED,email,reservation email / reception QR,Email-ready hotel lead. Source-valid hotel email found; decision-maker not required. Checked 4 page(s).,Hotel/accommodation keywords verified.,"Email extracted from mailto link on official/relevant hotel page.; Phone found on source page.; Checked URLs: http://www.bogematravel.com/, http://www.bogematravel.com/hakkimizda, http://www.bogematravel.com/iletisim, http://www.bogematravel.com/kvkk; Decision maker optional by 2026-06-15 rule change.; No inferred email used."
2026-06-18,zeni-a-otel-antalya-zeniaotel-com-f0a8fbb2fe,ZENİA OTEL,Antalya,Hotel,https://zeniaotel.com/,@hotelzenia,+902424106767,info@zeniaotel.com,https://zeniaotel.com/,https://zeniaotel.com/,https://zeniaotel.com/,https://zeniaotel.com/,,,100,A_APPROVED,email,reservation confirmation / pre-arrival email,Email-ready hotel lead. Source-valid hotel email found; decision-maker not required. Checked 4 page(s).,Hotel/accommodation keywords verified.,"Email extracted from official/relevant hotel page HTML/text.; Phone found on source page.; Checked URLs: https://zeniaotel.com/, https://zeniaotel.com/zenia-hotel-hakkinda/, https://zeniaotel.com/hakkimizda/, https://zeniaotel.com/iletisim/; Decision maker optional by 2026-06-15 rule change.; No inferred email used."
2026-06-18,in-the-middle-hotel-antalya-inthemiddle-com-tr-066cebec98,in the middle hotel,Antalya,Hotel,https://www.inthemiddle.com.tr/,@inthemiddlehotel,+902423403535,info@inthemiddle.com.tr,https://www.inthemiddle.com.tr/,https://www.inthemiddle.com.tr/,https://www.inthemiddle.com.tr/,https://www.inthemiddle.com.tr/,,,100,A_APPROVED,email,reservation confirmation / pre-arrival email,Email-ready hotel lead. Source-valid hotel email found; decision-maker not required. Checked 4 page(s).,Hotel/accommodation keywords verified.,"Email extracted from mailto link on official/relevant hotel page.; Phone found on source page.; Checked URLs: https://www.inthemiddle.com.tr/, https://www.inthemiddle.com.tr/sayfa/hakkimizda.html, https://www.inthemiddle.com.tr/iletisim.html, https://www.inthemiddle.com.tr/sayfa/mesafeli-satis-sozlesmesi.html; Decision maker optional by 2026-06-15 rule change.; No inferred email used."
2026-06-18,kriti-hotel-antalya-kritihotel-com-tr-e1d6ec3e76,kriti hotel,Antalya,Hotel,https://www.kritihotel.com.tr/,,+905011070700,info@kritihotel.com.tr,https://www.kritihotel.com.tr/,https://www.kritihotel.com.tr/,,https://www.kritihotel.com.tr/,,,100,A_APPROVED,email,guest welcome message / room QR,Email-ready hotel lead. Source-valid hotel email found; decision-maker not required. Checked 3 page(s).,Hotel/accommodation keywords verified.,"Email decoded from Cloudflare email-protection on official/relevant hotel page.; Phone found on source page.; Checked URLs: https://www.kritihotel.com.tr/, https://www.kritihotel.com.tr/pages/about, https://www.kritihotel.com.tr/pages/contact; Decision maker optional by 2026-06-15 rule change.; No inferred email used."
2026-06-18,boris-hotel-avc-lar-borishotel-com-b3af16f9a4,Boris Hotel,Avcılar,hotel,https://borishotel.com/contacts/,@borishotel,+902126902600,satis@borishotel.com,https://borishotel.com/contacts/,https://borishotel.com/contacts/,https://borishotel.com/contacts/,https://borishotel.com/contacts/,,,100,A_APPROVED,email,reservation confirmation / pre-arrival email,Email-ready hotel lead. Source-valid hotel email found; decision-maker not required. Checked 6 page(s).,Hotel/accommodation keywords verified.,"Email decoded from Cloudflare email-protection on official/relevant hotel page.; Phone found on source page.; Checked URLs: https://borishotel.com/contacts/, https://borishotel.com/about/, https://borishotel.com/booking/, https://borishotel.com/ar-sa/contacts/, https://borishotel.com/en-gb/contacts/; Decision maker optional by 2026-06-15 rule change.; No inferred email used."
