processed_at,status,business_name,city,category,website,domain,best_email,all_emails,email_source_url,pages_checked,checked_urls,reason,source_url,google_maps_url,place_id
2026-06-19T08:43:01Z,found,sealandtrip.com,,,https://sealandtrip.com,sealandtrip.com,info@sealandtrip.com,info@sealandtrip.com,https://sealandtrip.com/,7,https://sealandtrip.com/ | https://sealandtrip.com/about-us/ | https://sealandtrip.com/contact-us/ | https://sealandtrip.com/privacy-policy/ | https://sealandtrip.com/kvkk/ | https://sealandtrip.com/contact-us/ | https://sealandtrip.com/contact-us/,source_visible_email_found,,,
2026-06-19T08:43:13Z,found,lufertour.com,,,https://lufertour.com,lufertour.com,info@lufertour.com,info@lufertour.com,https://lufertour.com/,8,https://lufertour.com/ | https://lufertour.com/about | https://lufertour.com/privacy-notice | https://lufertour.com/privacy-policy | https://lufertour.com/cookie-policy | https://lufertour.com/distance-sales-agreement | https://lufertour.com/cancellation-refund-policy | https://lufertour.com/contact,source_visible_email_found,,,
2026-06-19T08:43:19Z,found,dinnercruisebosphorus.com,,,https://dinnercruisebosphorus.com,dinnercruisebosphorus.com,info@dinnercruisebosphorus.com,info@dinnercruisebosphorus.com,https://www.dinnercruisebosphorus.com/,4,https://www.dinnercruisebosphorus.com/ | https://www.dinnercruisebosphorus.com/about-us | https://www.dinnercruisebosphorus.com/contact-us | https://www.dinnercruisebosphorus.com/privacy-policy,source_visible_email_found,,,
2026-06-19T08:43:28Z,found,allinclusive-collection.com,,,https://allinclusive-collection.com,allinclusive-collection.com,reservations.rixosmarina@accor.com,reservations.rixosmarina@accor.com;rixos.sharmelsheikh@accor.com;reservation.saadiyat@rixos.com;reservations.rixospalm@accor.com;reservations.rixossaadiyat@accor.com;rhblk.onlinereservation@rixos.com;reservation.gulfdoha@accor.com;rixos.premiummagawish@accor.com;rixos.premiumseagate@accor.com;sotogrande@so-hotels.com;reservations.rixosmairid@accor.com;rhmlt.onlinereservation@rixos.com;rhbxn.onlinereservation@rixos.com;rhtkr.onlinereservation@rixos.com;rhprk.onlinereservation@rixos.com;rixos.premiumalamein@accor.com;rixos.radamis@accor.com;swissotel.sharmelsheikh@swissotel.com;reservation.rak@rixos.com;rhccr.onlinereservation@rixos.com;rixos.aktau.re@accor.com;slspm.reservations@slshotels.com;rhbld.onlinereservation@rixos.com;reservation.rixosqetaifan@accor.com;rhgck.onlinereservation@rixos.com;thlol.reservationpbx@thelandoflegendsthemepark.com;sorak.reservation@so-hotels.com;reservation.premiumdubai@rixos.com;dubrovnik@rixos.com;astana@rixos.com;bodrum.info@hydehotels.com;hb1q4-re@accor.com;reservations.rixosobhour@accor.com;pera@rixos.com;alatau.reservation@swissotel.com;info.tersane@rixos.com;rixos.montazaalexandria@accor.com;hb1n9-re@accor.com;info.murjana@rixos.com;reservations.phuquoc@rixos.com;magawish.reservation@accor.com,https://booking.allinclusive-collection.com/en/search?modifySearch=false&rooms%5B0%5D.accessible=false&rooms%5B0%5D.adults=2&rooms%5B0%5D.children=0,3,https://allinclusive-collection.com/ | https://booking.allinclusive-collection.com/en/search?modifySearch=false&rooms%5B0%5D.accessible=false&rooms%5B0%5D.adults=2&rooms%5B0%5D.children=0 | https://allinclusive-collection.com/en/search/,source_visible_email_found,,,
2026-06-19T08:43:42Z,no_email,sofitel.accor.com,,,https://sofitel.accor.com,sofitel.accor.com,,,,1,https://sofitel.accor.com/select-country.html,no_source_visible_email,,,
2026-06-19T08:43:55Z,found,istanbultouristpass.com,,,https://istanbultouristpass.com,istanbultouristpass.com,contact@istanbultouristpass.com,contact@istanbultouristpass.com;support@istanbultouristpass.com;info@istanbultouristpass.com,https://istanbultouristpass.com/,8,https://istanbultouristpass.com/ | https://istanbultouristpass.com/about-us | https://istanbultouristpass.com/contact | https://istanbultouristpass.com/reviews | https://istanbultouristpass.com/privacy-policy | https://istanbultouristpass.com/cookies | https://istanbultouristpass.com/whats-included | https://istanbultouristpass.com/whats-included,source_visible_email_found,,,
2026-06-19T08:44:00Z,found,juliettur.com,,,https://juliettur.com,juliettur.com,info@juliettur.com,julietturizm@gmail.com;info@juliettur.com,https://www.juliettur.com/kvkk,6,https://www.juliettur.com | https://www.juliettur.com/ucakli-turlar | https://www.juliettur.com/Mesafeli-paket-tur-sat%C4%B1%C5%9F-s%C3%B6zle%C5%9Fmesii | https://www.juliettur.com/hakkimizda | https://www.juliettur.com/iletisim | https://www.juliettur.com/kvkk,source_visible_email_found,,,
2026-06-19T08:44:08Z,found,antalyapmem.pol.tr,,,https://antalyapmem.pol.tr,antalyapmem.pol.tr,antalyapmem@egm.gov.tr,antalyapmem@egm.gov.tr,https://antalyapmem.pol.tr/iletisim,4,https://antalyapmem.pol.tr/ | https://antalyapmem.pol.tr/hakkimizda | https://antalyapmem.pol.tr/iletisim | https://antalyapmem.pol.tr/Hata/NotFound,source_visible_email_found,,,
2026-06-19T08:44:19Z,found,rixos.com,,,https://rixos.com,rixos.com,call@rixos.com,anjeanette.manuel@accor.com;call@rixos.com;data.privacy@rixos.com;dataprivacy@rixos.com,https://www.rixos.com/terms-and-policy,5,https://www.rixos.com/ | https://www.rixos.com/sustainability-rixos-hotels | https://www.rixos.com/contact | https://www.rixos.com/terms-and-policy | https://www.rixos.com/privacy-policy,source_visible_email_found,,,
2026-06-19T08:44:32Z,no_email,monohotelantalya.com,,,https://monohotelantalya.com,monohotelantalya.com,,,,4,https://www.monohotelantalya.com/ | https://www.monohotelantalya.com/contact/ | https://www.monohotelantalya.com/booking/ | https://www.monohotelantalya.com/contact/,no_source_visible_email,,,
