processed_at,status,business_name,city,category,website,domain,best_email,all_emails,email_source_url,pages_checked,checked_urls,reason,source_url,google_maps_url,place_id
2026-06-20T10:55:07Z,failed,beltomhotel.com,,,https://beltomhotel.com,beltomhotel.com,,,,0,,homepage_fetch_failed,,,
2026-06-20T10:55:44Z,failed,adrasanotel.com,,,https://adrasanotel.com,adrasanotel.com,,,,0,,homepage_fetch_failed,,,
2026-06-20T10:56:20Z,failed,adrasancicekpansiyon.com,,,https://adrasancicekpansiyon.com,adrasancicekpansiyon.com,,,,0,,homepage_fetch_failed,,,
2026-06-20T10:56:20Z,failed,adrasanlacasitaadrasan.com,,,https://adrasanlacasitaadrasan.com,adrasanlacasitaadrasan.com,,,,0,,homepage_fetch_failed,,,
2026-06-20T10:56:20Z,failed,otelalbos.com.tr,,,https://otelalbos.com.tr,otelalbos.com.tr,,,,0,,homepage_fetch_failed,,,
2026-06-20T10:56:21Z,found,adrasankardespansiyon.com,,,https://adrasankardespansiyon.com,adrasankardespansiyon.com,info@kardespansiyon.com,info@kardespansiyon.com,https://kardespansiyon.com/tr/iletisim/,8,https://kardespansiyon.com | https://kardespansiyon.com/contact | https://kardespansiyon.com/contact-us | https://kardespansiyon.com/contacts | https://kardespansiyon.com/iletisim | https://kardespansiyon.com/ileti%C5%9Fim | https://kardespansiyon.com/tr/iletisim/ | https://kardespansiyon.com/tr/ileti%C5%9Fim,source_visible_email_found,,,
2026-06-20T10:56:25Z,found,buhanahotel.com,,,https://buhanahotel.com,buhanahotel.com,info@buhanahotel.com-www.buhanahotel.com,info@buhanahotel.com-www.buhanahotel.com,http://buhanahotel.com/,3,http://buhanahotel.com/ | http://buhanahotel.com/reservation.aspx | http://buhanahotel.com/iletisim.aspx,source_visible_email_found,,,
2026-06-20T10:56:32Z,no_email,adrasandolunaypansiyon.com,,,https://adrasandolunaypansiyon.com,adrasandolunaypansiyon.com,,,,5,https://www.adrasandolunaypansiyon.com/ | https://www.adrasandolunaypansiyon.com/iletisim-ve-rezervasyon.html | https://www.adrasandolunaypansiyon.com/category/iletisim | https://www.adrasandolunaypansiyon.com/tag/pansiyon-iletisim | https://www.adrasandolunaypansiyon.com/tag/pansiyon-rezervasyon,no_source_visible_email,,,
2026-06-20T10:56:41Z,failed,eylulpansiyonolimpos.com,,,https://eylulpansiyonolimpos.com,eylulpansiyonolimpos.com,,,,0,,homepage_fetch_failed,,,
2026-06-20T10:56:41Z,found,changaadrasan.com,,,https://changaadrasan.com,changaadrasan.com,info@changaadrasan.com,info@changaadrasan.com;e-postainfo@changaadrasan.com;e-mailinfo@changaadrasan.com,https://www.changaadrasan.com/,5,https://www.changaadrasan.com/ | https://www.changaadrasan.com/iletisim/ | https://www.changaadrasan.com/en/contact/ | https://www.changaadrasan.com/iletisim/ | https://www.changaadrasan.com/iletisim/,source_visible_email_found,,,
