business_name,city,category,website,domain,source_url,google_maps_url,place_id
Merketour Ihre Incoming Agentur Istanbul / Türkei,Kepez,DMC/MICE,http://www.merketour.com/,merketour.com,,https://www.google.com/maps/search/?api=1&query=Merketour%20Ihre%20Incoming%20Agentur%20Istanbul%20%2F%20T%C3%BCrkei&query_place_id=ChIJcxIEZsiRwxQRXVwFKQQmgNw,ChIJcxIEZsiRwxQRXVwFKQQmgNw
Ance Tour & MICE,Muratpaşa,DMC/MICE,https://www.ancetour.com/,ancetour.com,,https://www.google.com/maps/search/?api=1&query=Ance%20Tour%20%26%20MICE&query_place_id=ChIJ1dzfn8mRwxQR4CipETUWSKY,ChIJ1dzfn8mRwxQR4CipETUWSKY
Aqua Mice,Muratpaşa,DMC/MICE,http://www.aquamice.com/,aquamice.com,,https://www.google.com/maps/search/?api=1&query=Aqua%20Mice&query_place_id=ChIJl9hak0uFwxQRLeaEd1D6r8E,ChIJl9hak0uFwxQRLeaEd1D6r8E
Bay M.I.C.E,Muratpaşa,DMC/MICE,http://baymice.com/,baymice.com,,https://www.google.com/maps/search/?api=1&query=Bay%20M.I.C.E&query_place_id=ChIJuVEbq8uawxQRiSRdzUWDG2Q,ChIJuVEbq8uawxQRiSRdzUWDG2Q
fmtmice,Muratpaşa,DMC/MICE,https://www.fmtmice.com/,fmtmice.com,,https://www.google.com/maps/search/?api=1&query=fmtmice&query_place_id=ChIJVVXxbCuFwxQRQ16MgtM3TVg,ChIJVVXxbCuFwxQRQ16MgtM3TVg
Group Mice Travel,Muratpaşa,DMC/MICE,http://www.groupmice.com/,groupmice.com,,https://www.google.com/maps/search/?api=1&query=Group%20Mice%20Travel&query_place_id=ChIJ279jmj2bwxQRAxTmMDw3gk8,ChIJ279jmj2bwxQRAxTmMDw3gk8
MTS Globe Turkey,Muratpaşa,DMC/MICE,https://www.mtsglobe.com/,mtsglobe.com,,https://www.google.com/maps/search/?api=1&query=MTS%20Globe%20Turkey&query_place_id=ChIJySChM5qRwxQR0iHIwdqYcW8,ChIJySChM5qRwxQR0iHIwdqYcW8
ROCKET DMC TÜRKİYE,Muratpaşa,DMC/MICE,https://rocketdmc.com/,rocketdmc.com,,https://www.google.com/maps/search/?api=1&query=ROCKET%20DMC%20T%C3%9CRK%C4%B0YE&query_place_id=ChIJf-YT69CRwxQRVcJz8tMydNc,ChIJf-YT69CRwxQRVcJz8tMydNc
Melino Travel DMC Turkey,Muratpaşa,DMC/MICE,https://www.melinotravel.com/,melinotravel.com,,https://www.google.com/maps/search/?api=1&query=Melino%20Travel%20DMC%20Turkey&query_place_id=ChIJrZw1r42RwxQR5RKhE1av8jk,ChIJrZw1r42RwxQR5RKhE1av8jk
Dowe Travel & Mice,Kepez,DMC/MICE,https://dowetravel.com/,dowetravel.com,,https://www.google.com/maps/search/?api=1&query=Dowe%20Travel%20%26%20Mice&query_place_id=ChIJ-14oqBObwxQRjFdHNE9vFO4,ChIJ-14oqBObwxQRjFdHNE9vFO4
